idx	name	localDegree	globalDegree	pValueRaw	pValueFDR	pValueBonferroni
5241	APLP1	2	23	0.147120463237774	0.318967455604604	1
4733	RXRG	2	23	0.147120463237774	0.318967455604604	1
3321	SAP18	3	45	0.147283789427004	0.318967455604604	1
1369	NCOA2	3	45	0.147283789427004	0.318967455604604	1
819	PLK1	8	175	0.147325775458629	0.318967455604604	1
5	PAK1	4	70	0.152474404730848	0.321202725217107	1
1463	SMN1	4	70	0.152474404730848	0.321202725217107	1
4673	NUP205	4	70	0.152474404730848	0.321202725217107	1
7075	AAAS	4	70	0.152474404730848	0.321202725217107	1
7432	NUP188	4	70	0.152474404730848	0.321202725217107	1
7433	NUP35	4	70	0.152474404730848	0.321202725217107	1
7437	NUPL2	4	70	0.152474404730848	0.321202725217107	1
338	PRKACA	10	233	0.152847987734016	0.321202725217107	1
2615	JUN	8	177	0.154030627780432	0.321202725217107	1
205	STAT4	3	46	0.15433006393569	0.321202725217107	1
487	IRS2	3	46	0.15433006393569	0.321202725217107	1
5298	KRT15	3	46	0.15433006393569	0.321202725217107	1
4806	CDC42	5	96	0.154732626968658	0.321202725217107	1
1694	MUC1	2	24	0.15751896412084	0.321202725217107	1
7339	HSD3B7	2	24	0.15751896412084	0.321202725217107	1
7426	NSDHL	2	24	0.15751896412084	0.321202725217107	1
1321	SNW1	2	24	0.15751896412084	0.321202725217107	1
7458	PHAX	2	24	0.15751896412084	0.321202725217107	1
56	MST1R	2	24	0.15751896412084	0.321202725217107	1
4263	TICAM1	2	24	0.15751896412084	0.321202725217107	1
5317	PAICS	2	24	0.15751896412084	0.321202725217107	1
2577	NFIC	2	24	0.15751896412084	0.321202725217107	1
3134	IL18R1	2	24	0.15751896412084	0.321202725217107	1
74	NUP155	4	71	0.15808071341963	0.321202725217107	1
7436	NUP93	4	71	0.15808071341963	0.321202725217107	1
937	PRKAR2B	4	71	0.15808071341963	0.321202725217107	1
5675	CEP76	4	71	0.15808071341963	0.321202725217107	1
279	SLC9A3R1	3	47	0.161480054145911	0.326621787524155	1
33	IL6ST	3	47	0.161480054145911	0.326621787524155	1
5702	KRTAP4-12	4	72	0.163762436665786	0.328260884282879	1
3200	NUP88	4	72	0.163762436665786	0.328260884282879	1
1991	CENPJ	4	72	0.163762436665786	0.328260884282879	1
175	BCAR1	4	72	0.163762436665786	0.328260884282879	1
1552	CHEK1	2	25	0.168050161853119	0.329711530816626	1
